iter	Passed	Remaining
385	27859	44314
386	27928	44238
387	27994	44156
388	28076	44098
389	28149	44028
390	28222	43957
391	28290	43879
392	28358	43800
393	28427	43723
394	28496	43647
395	28565	43570
396	28636	43495
397	28701	43412
398	28774	43342
399	28848	43272
400	28926	43208
401	29007	43150
402	29082	43082
403	29153	43008
404	29228	42940
405	29299	42867
406	29371	42794
407	29446	42726
408	29516	42650
409	29585	42574
410	29660	42505
411	29726	42425
412	29803	42359
413	29869	42279
414	29943	42209
415	30011	42131
416	30081	42055
417	30148	41976
418	30210	41891
419	30278	41812
420	30359	41752
421	30434	41684
422	30511	41619
423	30582	41545
424	30658	41479
425	30745	41426
426	30823	41362
427	30900	41296
428	30969	41220
429	31042	41149
430	31114	41076
431	31184	41002
432	31253	40925
433	31319	40845
434	31391	40773
435	31465	40702
436	31535	40627
437	31611	40560
438	31682	40486
439	31760	40422
440	31832	40349
441	31910	40285
442	31984	40215
443	32061	40148
444	32139	40084
445	32216	40018
446	32289	39946
447	32357	39869
448	32426	39792
449	32493	39714
450	32562	39638
451	32637	39569
452	32712	39500
453	32784	39428
454	32871	39373
455	32948	39307
456	33021	39235
457	33090	39159
458	33165	39090
459	33236	39016
460	33308	38944
461	33377	38867
462	33443	38788
463	33512	38712
464	33586	38642
465	33662	38574
466	33742	38511
467	33816	38441
468	33889	38369
469	33957	38292
470	34035	38226
471	34106	38153
472	34177	38079
473	34245	38002
474	34311	37923
475	34378	37845
476	34457	37780
477	34536	37715
478	34610	37644
479	34683	37574
480	34758	37504
481	34830	37432
482	34900	37357
483	34972	37285
484	35044	37211
485	35125	37149
486	35202	37082
487	35274	37009
488	35351	36941
489	35426	36872
490	35497	36798
491	35566	36722
492	35632	36644
493	35700	36567
494	35769	36492
495	35834	36412
496	35904	36338
497	35974	36263
498	36041	36186
499	36109	36109
500	36176	36032
501	36253	35964
502	36335	35901
503	36411	35833
504	36481	35759
505	36555	35688
506	36624	35613
507	36697	35541
508	36767	35467
509	36839	35394
510	36909	35320
511	36993	35259
512	37077	35198
513	37160	35135
514	37235	35066
515	37313	34999
516	37390	34931
517	37462	34859
518	37534	34786
519	37606	34713
520	37676	34638
521	37742	34561
522	37811	34486
523	37880	34410
524	37953	34338
525	38018	34260
526	38087	34184
527	38156	34109
528	38236	34044
529	38306	33969
530	38384	33902
531	38456	33830
532	38526	33756
533	38598	33683
534	38668	33608
535	38735	33532
536	38804	33457
537	38874	33383
538	38946	33310
539	39016	33236
540	39085	33160
541	39151	33083
542	39218	33006
543	39294	32938
544	39366	32865
545	39441	32796
546	39515	32725
547	39590	32655
548	39673	32591
549	39748	32521
550	39821	32449
551	39893	32377
552	39963	32302
553	40035	32231
554	40104	32155
555	40176	32083
556	40251	32013
557	40320	31938
558	40390	31864
559	40461	31791
560	40542	31725
561	40615	31653
562	40685	31580
563	40755	31506
564	40823	31430
565	40897	31359
566	40966	31284
567	41039	31213
568	41105	31136
569	41182	31067
570	41257	30997
571	41331	30926
572	41403	30854
573	41471	30778
574	41537	30701
575	41605	30626
576	41676	30552
577	41745	30478
578	41812	30402
579	41889	30333
580	41962	30261
581	42035	30190
582	42107	30117
583	42175	30042
584	42240	29965
585	42308	29890
586	42375	29814
587	42448	29742
588	42520	29670
589	42597	29601
590	42674	29532
591	42747	29461
592	42820	29389
593	42894	29318
594	42964	29244
595	43038	29173
596	43104	29097
597	43178	29026
598	43246	28951
599	43315	28877
600	43394	28809
601	43469	28739
602	43541	28666
603	43620	28598
604	43693	28527
605	43778	28463
606	43852	28392
607	43929	28322
608	44005	28253
609	44072	28177
610	44142	28103
611	44215	28032
612	44283	27957
613	44352	27882
614	44419	27807
615	44486	27731
616	44550	27654
617	44623	27582
618	44693	27509
619	44771	27440
620	44839	27365
621	44915	27296
622	44986	27222
623	45054	27148
624	45133	27079
625	45209	27010
626	45281	26937
627	45353	26865
628	45428	26794
629	45498	26721
630	45579	26654
631	45657	26585
632	45729	26512
633	45796	26437
634	45869	26365
635	45937	26291
636	46007	26217
637	46079	26145
638	46150	26072
639	46223	26000
640	46302	25932
641	46387	25867
642	46466	25798
643	46544	25729
644	46618	25658
645	46694	25587
646	46770	25518
647	46846	25447
648	46918	25375
649	46989	25302
650	47059	25228
651	47125	25152
652	47194	25078
653	47265	25005
654	47331	24930
655	47404	24858
656	47472	24783
657	47539	24708
658	47616	24639
659	47692	24568
660	47766	24497
661	47833	24422
662	47902	24348
663	47966	24272
664	48045	24203
665	48115	24129
666	48186	24057
667	48257	23984
668	48339	23916
669	48423	23850
670	48507	23783
671	48580	23712
672	48659	23642
673	48728	23569
674	48802	23497
675	48883	23429
676	48958	23358
677	49031	23286
678	49101	23212
679	49169	23138
680	49238	23064
681	49307	22990
682	49391	22923
683	49464	22852
684	49538	22780
685	49609	22707
686	49684	22636
687	49751	22561
688	49820	22487
689	49889	22413
690	49953	22338
691	50021	22263
692	50100	22194
693	50174	22123
694	50248	22051
695	50320	21978
696	50392	21906
697	50460	21832
698	50548	21766
699	50636	21701
700	50717	21632
701	50799	21564
702	50880	21495
703	50950	21422
704	51028	21352
705	51103	21281
706	51171	21206
707	51239	21132
708	51307	21058
709	51373	20983
710	51452	20913
711	51526	20841
712	51596	20768
713	51668	20696
714	51740	20623
715	51816	20552
716	51889	20480
717	51965	20409
718	52035	20336
719	52104	20262
720	52171	20188
721	52238	20113
722	52305	20039
723	52370	19964
724	52436	19889
725	52505	19816
726	52570	19741
727	52646	19670
728	52719	19597
729	52803	19529
730	52884	19460
731	52965	19391
732	53048	19323
733	53129	19253
734	53206	19183
735	53285	19113
736	53356	19040
737	53432	18969
738	53499	18894
739	53573	18823
740	53644	18750
741	53715	18677
742	53786	18604
743	53862	18533
744	53927	18458
745	53996	18384
746	54063	18310
747	54140	18239
748	54211	18167
749	54284	18094
750	54353	18021
751	54428	17949
752	54506	17879
753	54600	17813
754	54687	17746
755	54768	17676
756	54846	17606
757	54924	17535
758	54993	17461
759	55060	17387
760	55136	17316
761	55204	17242
762	55278	17170
763	55348	17097
764	55415	17023
765	55480	16948
766	55545	16873
767	55615	16800
768	55682	16726
769	55762	16656
770	55839	16585
771	55910	16512
772	55983	16440
773	56048	16365
774	56117	16292
775	56195	16221
776	56268	16149
777	56341	16076
778	56415	16004
779	56482	15930
780	56550	15857
781	56618	15783
782	56694	15712
783	56766	15639
784	56844	15568
785	56912	15495
786	56978	15421
787	57045	15347
788	57126	15277
789	57200	15205
790	57271	15132
791	57339	15058
792	57406	14984
793	57471	14910
794	57547	14839
795	57624	14768
796	57705	14697
797	57785	14627
798	57853	14553
799	57936	14484
800	58018	14414
801	58097	14343
802	58170	14270
803	58242	14198
804	58330	14129
805	58411	14059
806	58492	13988
807	58570	13917
808	58646	13845
809	58729	13775
810	58802	13703
811	58877	13631
812	58943	13557
813	59011	13484
814	59082	13411
815	59166	13341
816	59248	13271
817	59326	13199
818	59399	13127
819	59481	13056
820	59556	12984
821	59631	12913
822	59707	12841
823	59781	12768
824	59852	12695
825	59915	12621
826	59984	12548
827	60054	12475
828	60140	12405
829	60214	12333
830	60286	12260
831	60362	12188
832	60439	12116
833	60513	12044
834	60584	11971
835	60654	11898
836	60723	11825
837	60806	11755
838	60885	11683
839	60960	11611
840	61034	11539
841	61104	11466
842	61178	11393
843	61246	11320
844	61315	11247
845	61396	11176
846	61469	11103
847	61541	11031
848	61612	10958
849	61684	10885
850	61759	10813
851	61830	10740
852	61898	10667
853	61965	10593
854	62031	10519
855	62096	10446
856	62167	10373
857	62247	10302
858	62323	10230
859	62397	10157
860	62480	10086
861	62557	10014
862	62642	9944
863	62718	9872
864	62801	9801
865	62873	9728
866	62945	9656
867	63017	9583
868	63083	9509
869	63152	9436
870	63220	9363
871	63290	9290
872	63356	9216
873	63427	9144
874	63493	9070
875	63563	8997
876	63633	8924
877	63719	8853
878	63798	8782
879	63870	8709
880	63947	8637
881	64017	8564
882	64087	8491
883	64155	8418
884	64221	8345
885	64291	8272
886	64365	8199
887	64432	8126
888	64510	8054
889	64586	7982
890	64664	7910
891	64736	7838
892	64808	7765
893	64877	7692
894	64961	7621
895	65041	7549
896	65114	7476
897	65184	7404
898	65252	7330
899	65326	7258
900	65393	7185
901	65476	7113
902	65550	7041
903	65620	6968
904	65692	6895
905	65774	6824
906	65852	6752
907	65933	6680
908	66010	6608
909	66081	6535
910	66152	6462
911	66221	6389
912	66300	6317
913	66375	6245
914	66453	6173
915	66522	6100
916	66591	6027
917	66659	5954
918	66730	5881
919	66804	5809
920	66887	5737
921	66963	5665
922	67038	5592
923	67108	5519
924	67177	5446
925	67245	5373
926	67311	5300
927	67403	5229
928	67483	5157
929	67554	5084
930	67624	5011
931	67691	4938
932	67762	4866
933	67831	4793
934	67898	4720
935	67965	4647
936	68042	4574
937	68112	4502
938	68184	4429
939	68251	4356
940	68318	4283
941	68399	4211
942	68474	4138
943	68545	4066
944	68612	3993
945	68678	3920
946	68750	3847
947	68816	3774
948	68884	3701
949	68951	3629
950	69033	3556
951	69107	3484
952	69177	3411
953	69246	3338
954	69316	3266
955	69388	3193
956	69458	3120
957	69536	3048
958	69611	2976
959	69698	2904
960	69778	2831
961	69854	2759
962	69926	2686
963	69997	2614
964	70069	2541
965	70138	2468
966	70204	2395
967	70275	2323
968	70341	2250
969	70413	2177
970	70496	2105
971	70584	2033
972	70663	1960
973	70739	1888
974	70808	1815
975	70879	1742
976	70946	1670
977	71012	1597
978	71080	1524
979	71147	1451
980	71213	1379
981	71294	1306
982	71366	1234
983	71444	1161
984	71517	1089
985	71591	1016
986	71663	943
987	71735	871
988	71804	798
989	71871	725
990	71938	653
991	72002	580
992	72069	508
993	72136	435
994	72220	362
995	72295	290
996	72370	217
997	72444	145
998	72518	72
999	72595	0
